naive	<div class="pos"><b>adjective</b></div><div class="ipa">/naɪˈiːv/</div><div class="translation"><b>🇵🇱 naiwny</b></div><div class="definition">🇬🇧 too willing to believe that people are honest, kind, or fair</div>	<div class="example"><p>1. <i>He was too <b>naive</b> to think the manager would accept every suggestion immediately.</i></p><p>   🇵🇱 <i>Był zbyt naiwny, żeby myśleć, że menedżer od razu zaakceptuje każdą sugestię.</i></p><p>2. <i>It would be <b>naive</b> to believe that success always comes quickly.</i></p><p>   🇵🇱 <i>Naiwnością byłoby wierzyć, że sukces zawsze przychodzi szybko.</i></p></div>	fce vocabulary character-habits
sensitive	<div class="pos"><b>adjective</b></div><div class="ipa">/ˈsensətɪv/</div><div class="translation"><b>🇵🇱 wrażliwy</b></div><div class="definition">🇬🇧 easily upset or affected by what people say or do</div>	<div class="example"><p>1. <i>She is very <b>sensitive</b> to negative feedback from other people.</i></p><p>   🇵🇱 <i>Jest bardzo wrażliwa na negatywną informację zwrotną od innych ludzi.</i></p><p>2. <i>Some students are <b>sensitive</b> about speaking English in public.</i></p><p>   🇵🇱 <i>Niektórzy uczniowie są wrażliwi, jeśli chodzi o mówienie po angielsku publicznie.</i></p></div>	fce vocabulary character-habits
arrogant	<div class="pos"><b>adjective</b></div><div class="ipa">/ˈærəɡənt/</div><div class="translation"><b>🇵🇱 arogancki</b></div><div class="definition">🇬🇧 behaving as if you are better or more important than other people</div>	<div class="example"><p>1. <i>He sounded <b>arrogant</b> when he said nobody else in the team was good enough.</i></p><p>   🇵🇱 <i>Brzmiał arogancko, kiedy powiedział, że nikt inny w zespole nie jest wystarczająco dobry.</i></p><p>2. <i>Being confident is useful, but being <b>arrogant</b> can damage relationships.</i></p><p>   🇵🇱 <i>Pewność siebie jest przydatna, ale arogancja może niszczyć relacje.</i></p></div>	fce vocabulary character-habits
self-confident	<div class="pos"><b>adjective</b></div><div class="ipa">/ˌself ˈkɒnfɪdənt/</div><div class="translation"><b>🇵🇱 pewny siebie</b></div><div class="definition">🇬🇧 feeling sure about your abilities and value</div>	<div class="example"><p>1. <i>She looked calm and <b>self-confident</b> before the presentation started.</i></p><p>   🇵🇱 <i>Wyglądała spokojnie i pewnie siebie, zanim zaczęła się prezentacja.</i></p><p>2. <i>You need to sound <b>self-confident</b> in the speaking exam, not afraid.</i></p><p>   🇵🇱 <i>Na egzaminie ustnym musisz brzmieć pewnie siebie, a nie przestraszenie.</i></p></div>	fce vocabulary character-habits
passionate	<div class="pos"><b>adjective</b></div><div class="ipa">/ˈpæʃənət/</div><div class="translation"><b>🇵🇱 pełen pasji</b></div><div class="definition">🇬🇧 having very strong feelings of interest, enthusiasm, or love for something</div>	<div class="example"><p>1. <i>She is <b>passionate</b> about alternative energy and reads about it every week.</i></p><p>   🇵🇱 <i>Ona pasjonuje się alternatywną energią i czyta o niej co tydzień.</i></p><p>2. <i>The best teachers are often <b>passionate</b> about their subject.</i></p><p>   🇵🇱 <i>Najlepsi nauczyciele często są pełni pasji do swojego przedmiotu.</i></p></div>	fce vocabulary character-habits
ambitious	<div class="pos"><b>adjective</b></div><div class="ipa">/æmˈbɪʃəs/</div><div class="translation"><b>🇵🇱 ambitny</b></div><div class="definition">🇬🇧 strongly wanting to be successful or achieve something important</div>	<div class="example"><p>1. <i>She is highly <b>ambitious</b> and wants to become a team leader soon.</i></p><p>   🇵🇱 <i>Jest bardzo ambitna i chce wkrótce zostać liderką zespołu.</i></p><p>2. <i>It helps to be <b>ambitious</b>, but you still need patience and discipline.</i></p><p>   🇵🇱 <i>Pomaga być ambitnym, ale nadal potrzeba cierpliwości i dyscypliny.</i></p></div>	fce vocabulary character-habits
loyal	<div class="pos"><b>adjective</b></div><div class="ipa">/ˈlɔɪəl/</div><div class="translation"><b>🇵🇱 lojalny</b></div><div class="definition">🇬🇧 always giving support to a person, group, or idea</div>	<div class="example"><p>1. <i>A <b>loyal</b> friend will support you even when things go badly.</i></p><p>   🇵🇱 <i>Lojalny przyjaciel wesprze cię nawet wtedy, gdy sprawy idą źle.</i></p><p>2. <i>Employees often stay longer in companies where they feel valued and <b>loyal</b>.</i></p><p>   🇵🇱 <i>Pracownicy często zostają dłużej w firmach, w których czują się docenieni i lojalni.</i></p></div>	fce vocabulary character-habits
optimistic	<div class="pos"><b>adjective</b></div><div class="ipa">/ˌɒptɪˈmɪstɪk/</div><div class="translation"><b>🇵🇱 optymistyczny</b></div><div class="definition">🇬🇧 expecting good things to happen in the future</div>	<div class="example"><p>1. <i>I'm <b>optimistic</b> that the project will be successful.</i></p><p>   🇵🇱 <i>Jestem optymistycznie nastawiony, że projekt zakończy się sukcesem.</i></p><p>2. <i>An <b>optimistic</b> attitude can make difficult work feel more manageable.</i></p><p>   🇵🇱 <i>Optymistyczne nastawienie może sprawić, że trudna praca wydaje się łatwiejsza do opanowania.</i></p></div>	fce vocabulary character-habits
respected	<div class="pos"><b>adjective</b></div><div class="ipa">/rɪˈspektɪd/</div><div class="translation"><b>🇵🇱 szanowany</b></div><div class="definition">🇬🇧 admired and thought of as important or valuable by other people</div>	<div class="example"><p>1. <i>She is a highly <b>respected</b> scientist known around the world.</i></p><p>   🇵🇱 <i>Jest bardzo szanowaną naukowczynią znaną na całym świecie.</i></p><p>2. <i>He became a <b>respected</b> doctor after many years of research and practice.</i></p><p>   🇵🇱 <i>Został szanowanym lekarzem po wielu latach badań i praktyki.</i></p></div>	fce vocabulary character-habits
inspiring	<div class="pos"><b>adjective</b></div><div class="ipa">/ɪnˈspaɪrɪŋ/</div><div class="translation"><b>🇵🇱 inspirujący</b></div><div class="definition">🇬🇧 making people feel excited and encouraged to do something</div>	<div class="example"><p>1. <i>We had an <b>inspiring</b> biology teacher whose lessons made everyone work harder.</i></p><p>   🇵🇱 <i>Mieliśmy inspirującą nauczycielkę biologii, której lekcje sprawiały, że wszyscy pracowali ciężej.</i></p><p>2. <i>Her speech was so <b>inspiring</b> that the audience started asking serious questions.</i></p><p>   🇵🇱 <i>Jej przemówienie było tak inspirujące, że publiczność zaczęła zadawać poważne pytania.</i></p></div>	fce vocabulary character-habits
determined	<div class="pos"><b>adjective</b></div><div class="ipa">/dɪˈtɜːmɪnd/</div><div class="translation"><b>🇵🇱 zdeterminowany</b></div><div class="definition">🇬🇧 strongly decided to do something and not willing to stop</div>	<div class="example"><p>1. <i>She is <b>determined</b> to achieve her goals this year.</i></p><p>   🇵🇱 <i>Jest zdeterminowana, by osiągnąć swoje cele w tym roku.</i></p><p>2. <i>You need to stay <b>determined</b> if you want to pass a difficult exam.</i></p><p>   🇵🇱 <i>Musisz pozostać zdeterminowany, jeśli chcesz zdać trudny egzamin.</i></p></div>	fce vocabulary character-habits
motivated	<div class="pos"><b>adjective</b></div><div class="ipa">/ˈməʊtɪveɪtɪd/</div><div class="translation"><b>🇵🇱 zmotywowany</b></div><div class="definition">🇬🇧 very willing to make an effort and work towards a goal</div>	<div class="example"><p>1. <i>It's easier to study when you feel truly <b>motivated</b>.</i></p><p>   🇵🇱 <i>Łatwiej się uczy, kiedy człowiek czuje prawdziwą motywację.</i></p><p>2. <i>She has always been <b>motivated</b> to do well in her career.</i></p><p>   🇵🇱 <i>Zawsze miała motywację, by dobrze radzić sobie w swojej karierze.</i></p></div>	fce vocabulary character-habits
stubborn	<div class="pos"><b>adjective</b></div><div class="ipa">/ˈstʌbən/</div><div class="translation"><b>🇵🇱 uparty</b></div><div class="definition">🇬🇧 refusing to change your opinion or behaviour even when there is a good reason</div>	<div class="example"><p>1. <i>Once he gets an idea into his head, he can be extremely <b>stubborn</b>.</i></p><p>   🇵🇱 <i>Kiedy raz coś wpadnie mu do głowy, potrafi być bardzo uparty.</i></p><p>2. <i>Being <b>stubborn</b> is not the same as being determined.</i></p><p>   🇵🇱 <i>Bycie upartym to nie to samo co bycie zdeterminowanym.</i></p></div>	fce vocabulary character-habits
habit	<div class="pos"><b>noun</b></div><div class="ipa">/ˈhæbɪt/</div><div class="translation"><b>🇵🇱 nawyk</b></div><div class="definition">🇬🇧 something you do regularly, often without thinking about it</div>	<div class="example"><p>1. <i>It takes time for your brain to adapt to a new <b>habit</b>.</i></p><p>   🇵🇱 <i>Twój mózg potrzebuje czasu, by przystosować się do nowego nawyku.</i></p><p>2. <i>Reading for ten minutes a day can become a useful <b>habit</b>.</i></p><p>   🇵🇱 <i>Czytanie przez dziesięć minut dziennie może stać się pożytecznym nawykiem.</i></p></div>	fce vocabulary character-habits
adapt to	<div class="pos"><b>phrase</b></div><div class="ipa">/əˈdæpt tuː/</div><div class="translation"><b>🇵🇱 przystosować się do</b></div><div class="definition">🇬🇧 to change your behaviour or thinking to deal successfully with a new situation</div>	<div class="example"><p>1. <i>Most people need a few weeks to <b>adapt to</b> a new routine.</i></p><p>   🇵🇱 <i>Większość ludzi potrzebuje kilku tygodni, by przystosować się do nowej rutyny.</i></p><p>2. <i>Students quickly <b>adapt to</b> new learning methods when they practise regularly.</i></p><p>   🇵🇱 <i>Uczniowie szybko przystosowują się do nowych metod nauki, gdy ćwiczą regularnie.</i></p></div>	fce vocabulary character-habits
give up	<div class="pos"><b>phrasal verb</b></div><div class="ipa">/ɡɪv ʌp/</div><div class="translation"><b>🇵🇱 porzucić; przestać</b></div><div class="definition">🇬🇧 to stop doing something, especially a habit, activity, or attempt</div>	<div class="example"><p>1. <i>He finally decided to <b>give up</b> staying up late every night.</i></p><p>   🇵🇱 <i>W końcu zdecydował się porzucić codzienne zarywanie nocy.</i></p><p>2. <i>Don't <b>give up</b> on your English after one difficult lesson.</i></p><p>   🇵🇱 <i>Nie rezygnuj z angielskiego po jednej trudnej lekcji.</i></p></div>	fce vocabulary character-habits
get in the way of	<div class="pos"><b>phrase</b></div><div class="ipa">/ɡet ɪn ðə ˈweɪ əv/</div><div class="translation"><b>🇵🇱 przeszkadzać w</b></div><div class="definition">🇬🇧 to prevent something from happening easily or successfully</div>	<div class="example"><p>1. <i>Try to choose a new habit that doesn't <b>get in the way of</b> your daily life.</i></p><p>   🇵🇱 <i>Spróbuj wybrać nowy nawyk, który nie będzie przeszkadzał w twoim codziennym życiu.</i></p><p>2. <i>Too much stress can <b>get in the way of</b> effective learning.</i></p><p>   🇵🇱 <i>Zbyt duży stres może przeszkadzać w skutecznej nauce.</i></p></div>	fce vocabulary character-habits
take time out	<div class="pos"><b>phrase</b></div><div class="ipa">/teɪk taɪm aʊt/</div><div class="translation"><b>🇵🇱 zrobić sobie przerwę</b></div><div class="definition">🇬🇧 to stop your usual activities for a while in order to rest or do something different</div>	<div class="example"><p>1. <i>Sometimes you need to <b>take time out</b> and do something you enjoy.</i></p><p>   🇵🇱 <i>Czasem trzeba zrobić sobie przerwę i zrobić coś, co sprawia przyjemność.</i></p><p>2. <i>She took time out from work to prepare for an important exam.</i></p><p>   🇵🇱 <i>Zrobiła sobie przerwę od pracy, żeby przygotować się do ważnego egzaminu.</i></p></div>	fce vocabulary character-habits
make an effort	<div class="pos"><b>phrase</b></div><div class="ipa">/meɪk ən ˈefət/</div><div class="translation"><b>🇵🇱 postarać się; włożyć wysiłek</b></div><div class="definition">🇬🇧 to try hard to do something well</div>	<div class="example"><p>1. <i>You have to <b>make an effort</b> if you want real progress in English.</i></p><p>   🇵🇱 <i>Musisz się postarać, jeśli chcesz robić prawdziwe postępy w angielskim.</i></p><p>2. <i>He made an effort to speak more clearly during the presentation.</i></p><p>   🇵🇱 <i>Postarał się mówić wyraźniej podczas prezentacji.</i></p></div>	fce vocabulary character-habits
rely on	<div class="pos"><b>phrasal verb</b></div><div class="ipa">/rɪˈlaɪ ɒn/</div><div class="translation"><b>🇵🇱 polegać na</b></div><div class="definition">🇬🇧 to trust or depend on someone or something</div>	<div class="example"><p>1. <i>She's such a loyal friend that I can always <b>rely on</b> her.</i></p><p>   🇵🇱 <i>Jest tak lojalną przyjaciółką, że zawsze mogę na niej polegać.</i></p><p>2. <i>You can't <b>rely on</b> luck alone in the exam.</i></p><p>   🇵🇱 <i>Na egzaminie nie możesz polegać wyłącznie na szczęściu.</i></p></div>	fce vocabulary character-habits
look forward to	<div class="pos"><b>phrase</b></div><div class="ipa">/ˌlʊk ˈfɔːwəd tuː/</div><div class="translation"><b>🇵🇱 czekać z niecierpliwością na</b></div><div class="definition">🇬🇧 to feel happy and excited about something that is going to happen</div>	<div class="example"><p>1. <i>He loves his job and always <b>looks forward to</b> going to work.</i></p><p>   🇵🇱 <i>Kocha swoją pracę i zawsze czeka z radością na pójście do pracy.</i></p><p>2. <i>I'm really <b>looking forward to</b> using these new words in speaking practice.</i></p><p>   🇵🇱 <i>Naprawdę nie mogę się doczekać użycia tych nowych słów w ćwiczeniu mówienia.</i></p></div>	fce vocabulary character-habits
do well in	<div class="pos"><b>phrase</b></div><div class="ipa">/duː wel ɪn/</div><div class="translation"><b>🇵🇱 dobrze radzić sobie w</b></div><div class="definition">🇬🇧 to be successful in a subject, activity, or area of life</div>	<div class="example"><p>1. <i>She works hard because she wants to <b>do well in</b> her career.</i></p><p>   🇵🇱 <i>Ciężko pracuje, bo chce dobrze radzić sobie w swojej karierze.</i></p><p>2. <i>Students usually do well in exams when they revise actively.</i></p><p>   🇵🇱 <i>Uczniowie zwykle dobrze wypadają na egzaminach, gdy powtarzają aktywnie.</i></p></div>	fce vocabulary character-habits
sensible	<div class="pos"><b>adjective</b></div><div class="ipa">/ˈsensəbl/</div><div class="translation"><b>🇵🇱 rozsądny</b></div><div class="definition">🇬🇧 practical and reasonable, showing good judgement</div>	<div class="example"><p>1. <i>It would be <b>sensible</b> to revise a little every day instead of waiting until the last minute.</i></p><p>   🇵🇱 <i>Rozsądnie byłoby powtarzać codziennie po trochu, zamiast czekać do ostatniej chwili.</i></p><p>2. <i>She made a <b>sensible</b> decision and asked for feedback before sending the report.</i></p><p>   🇵🇱 <i>Podjęła rozsądną decyzję i poprosiła o informację zwrotną przed wysłaniem raportu.</i></p></div>	fce vocabulary character-habits
reckless	<div class="pos"><b>adjective</b></div><div class="ipa">/ˈrekləs/</div><div class="translation"><b>🇵🇱 lekkomyślny</b></div><div class="definition">🇬🇧 careless and dangerous because you do not think about the possible results</div>	<div class="example"><p>1. <i>It was <b>reckless</b> to ignore all the warnings before the exam.</i></p><p>   🇵🇱 <i>Lekkomyślnością było zignorować wszystkie ostrzeżenia przed egzaminem.</i></p><p>2. <i>He made a <b>reckless</b> choice and spent all his time gaming instead of studying.</i></p><p>   🇵🇱 <i>Podjął lekkomyślną decyzję i spędził cały czas na graniu zamiast na nauce.</i></p></div>	fce vocabulary character-habits
knit	<div class="pos"><b>verb</b></div><div class="ipa">/nɪt/</div><div class="translation"><b>🇵🇱 robić na drutach; dziergać</b></div><div class="definition">🇬🇧 to make clothes or other things from wool using needles or a machine</div>	<div class="example"><p>1. <i>My grandmother used to <b>knit</b> warm scarves every winter.</i></p><p>   🇵🇱 <i>Moja babcia robiła na drutach ciepłe szaliki każdej zimy.</i></p><p>2. <i>She takes time out in the evening to <b>knit</b> and relax.</i></p><p>   🇵🇱 <i>Wieczorem robi sobie przerwę, żeby dziergać i się odprężyć.</i></p></div>	fce vocabulary character-habits
research (v.)	<div class="pos"><b>verb</b></div><div class="ipa">/rɪˈsɜːtʃ/</div><div class="translation"><b>🇵🇱 badać; prowadzić badania</b></div><div class="definition">🇬🇧 to study a subject carefully in order to discover new facts or information</div>	<div class="example"><p>1. <i>Before writing the essay, you should <b>research</b> the topic carefully.</i></p><p>   🇵🇱 <i>Przed napisaniem eseju powinieneś dokładnie zbadać temat.</i></p><p>2. <i>Scientists <b>research</b> new forms of energy to solve future problems.</i></p><p>   🇵🇱 <i>Naukowcy badają nowe formy energii, aby rozwiązywać przyszłe problemy.</i></p></div>	fce vocabulary character-habits
research (n.)	<div class="pos"><b>noun</b></div><div class="ipa">/rɪˈsɜːtʃ/</div><div class="translation"><b>🇵🇱 badania</b></div><div class="definition">🇬🇧 careful study of a subject to discover new facts or develop new ideas</div>	<div class="example"><p>1. <i>Her <b>research</b> on climate change was published in an international journal.</i></p><p>   🇵🇱 <i>Jej badania nad zmianą klimatu zostały opublikowane w międzynarodowym czasopiśmie.</i></p><p>2. <i>Good essays are based on clear arguments and reliable <b>research</b>.</i></p><p>   🇵🇱 <i>Dobre eseje opierają się na jasnych argumentach i rzetelnych badaniach.</i></p></div>	fce vocabulary character-habits